bio_count,he/him,she/her,they/them,she/they,he/they,us_day_YYYY_MM_DD
232620,14.616112114177628,66.6322758146333,12.896569512509672,5.158627805003869,3.0091995529189237,2019_05_28
248215,13.697802308482565,56.80559192635417,14.503555385452128,4.431641923332594,3.625888846363032,2019_05_29
250387,12.780216225283262,52.71839192929345,12.780216225283262,8.387016897842141,3.9938175704010193,2019_05_30
229581,16.987468475178694,64.90084109747758,15.680740130934181,7.8403700654670905,2.61345668848903,2019_05_31
214406,17.723384606774065,68.56151413673125,20.055408897139074,8.861692303387033,3.2648340065110117,2019_06_01
225048,20.44008389321389,63.98634957875653,12.886139845721802,7.109594397639615,3.999146848672283,2019_06_02
237834,14.716146556001245,65.5919675067484,15.136607886172708,5.465997292229034,2.522767981028785,2019_06_03
241375,15.743138270326256,62.14396685655101,15.32884515794925,8.700155359917142,3.7286380113930604,2019_06_04
246902,13.770645843290051,64.80303926254142,16.605778811026237,8.910417898599444,4.455208949299722,2019_06_05
242441,14.848973564702339,62.69566616207655,11.136730173526756,6.187072318625975,4.5371863669923815,2019_06_06
235714,15.272745785146407,59.39401138668047,15.272745785146407,9.33334464647836,2.121214692381445,2019_06_07
205864,18.944545913807172,63.634243966890764,14.086970038472002,11.658182100804414,2.4287879376675865,2019_06_08
219920,17.73372135321935,75.93670425609312,17.73372135321935,8.639505274645325,4.547108039287013,2019_06_09
250309,17.977779464581776,61.12445017957804,13.583211151017343,8.38963041680483,5.193580734212514,2019_06_10
245231,18.35004546733488,61.98237580077559,14.272257585704907,7.747796975096949,2.854451517140981,2019_06_11
251195,19.50675769820259,60.90885566989789,11.942912876450567,7.1657477258703395,1.5923883835267423,2019_06_12
264289,17.78356269084222,67.3505140206365,13.243078599563356,7.189099811191537,3.405363068459149,2019_06_13
230094,13.038149625805106,62.14851321633767,13.472754613331942,5.215259850322043,2.1730249376341844,2019_06_14
212252,19.316661327101748,74.43981682151404,15.547556677911162,8.009347379529993,2.8268284868929388,2019_06_15
212849,14.094498917072666,66.24414491024153,16.9133987004872,9.396332611381778,3.758533044552711,2019_06_16
228506,13.566383377241735,58.641786211302986,16.629760268876964,7.439629593971274,3.501002161868835,2019_06_17
244092,13.109811054848173,64.32001048784885,17.61630860495223,11.061403077528146,2.0484079773200268,2019_06_18
247428,14.549687181725593,58.19874872690237,14.145529204455437,8.083159545403108,2.8291058408910876,2019_06_19
251737,13.50615920583784,56.80531665984738,18.6702789021876,12.71167925255326,2.7806798364960255,2019_06_20
